Tên sản phẩm,Ngành hàng,Loại edge case,Mô tả,
Ariel BG hương nắng mai 5.2 kg (Gói),Giặt giũ và chăm sóc quần áo,No Weight,Không có weight/volume trong tên,
BVS Diana ST Cool Fresh SM K.Cánh (Cái),Chăm sóc cơ thể,No Weight,Không có weight/volume trong tên,
BVS Glee combo ngày đêm 20M (Gói),Chăm sóc cá nhân khác,No Weight,Không có weight/volume trong tên,
BVS SS Than hoạt tính SMC 8miếng (Cái),Chăm sóc cơ thể,No Weight,Không có weight/volume trong tên,
Bia Tiger Crystal SLK Ctn 330ml (Lon),Bia,No Weight,Không có weight/volume trong tên,
Bia Tuborg lon 330ml (Lon),Bia,No Weight,Không có weight/volume trong tên,
"Bim Bim Que Tăm Đậu 0,35Kg (Gói)","Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Boss cà Phê sữa Lon 235ml (Lon),Trà,No Weight,Không có weight/volume trong tên,
Bvs LAU đêm 35cm (Gói),Chăm sóc cá nhân khác,No Weight,Không có weight/volume trong tên,
BÁNH CHOCOPIE 36.3G*12P (Hộp),Bánh,No Weight,Không có weight/volume trong tên,
BÁNH CHOCOPIE 36.3G*6P (Hộp),Bánh,No Weight,Không có weight/volume trong tên,
BÁNH CHẢ LÁ CHANH KIM BẢO 300g (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
BÁNH GATO (Gói),,No Weight,Không có weight/volume trong tên,
BÁNH GẠO POCA LÀNG GẠO VỊ PHÔ MAI 108g (Gói),Bánh,No Weight,Không có weight/volume trong tên,
BÁNH NHÃN - GIÒN  (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
BÁNH TRỨNG HỘP GIẤY TIPO 39g (Hộp),Bánh,No Weight,Không có weight/volume trong tên,
Bài rồng (Bộ),Văn phòng phẩm,No Weight,Không có weight/volume trong tên,
Bàn chải Lipzo Ruby sensi (Cái),Chăm sóc răng miệng,No Weight,Không có weight/volume trong tên,
Bàn chải Lipzo áo dài (Cái),Chăm sóc răng miệng,No Weight,Không có weight/volume trong tên,
Bàn chải cao cấp Max X (Cái),Chăm sóc răng miệng,No Weight,Không có weight/volume trong tên,
Bàn chải cao cấp Ruby Pro (Cái),Chăm sóc răng miệng,No Weight,Không có weight/volume trong tên,
Bàn chải cao cấp Áo dài Pro (Cái),Chăm sóc răng miệng,No Weight,Không có weight/volume trong tên,
Bàn chải giặt (Cái),Văn phòng phẩm,No Weight,Không có weight/volume trong tên,
Bánh Bống Bang Choco 5P (Gói),Bánh,No Weight,Không có weight/volume trong tên,
Bánh Bống Bang Choco 8P (Hộp),Bánh,No Weight,Không có weight/volume trong tên,
Bánh CChip BƠ 35g (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Bánh CChip CAY 35g (Gói),Bánh,No Weight,Không có weight/volume trong tên,
Bánh Chocopie 2p (Hộp),Bánh,No Weight,Không có weight/volume trong tên,
Bánh GaBT MBCraft 35g (Gói),,No Weight,Không có weight/volume trong tên,
Bánh Goute 15P (Hộp),Bánh,No Weight,Không có weight/volume trong tên,
Bánh Gạo An BBQ 14P (Gói),Bánh,No Weight,Không có weight/volume trong tên,
Bánh Gạo An Vừng 12P (Gói),Bánh,No Weight,Không có weight/volume trong tên,
Bánh Gạo An-Chà Bông 14P (Gói),Bánh,No Weight,Không có weight/volume trong tên,
Bánh Gạo An-Tảo 22P (Gói),,No Weight,Không có weight/volume trong tên,
Bánh Gạo An-Tự Nhiên 21P (Gói),Bánh,No Weight,Không có weight/volume trong tên,
Bánh Hura Deli Hương cốm dừa Bibica (Hộp),Bánh,No Weight,Không có weight/volume trong tên,
Bánh MBoyTôm 35g (Hộp),Bánh,No Weight,Không có weight/volume trong tên,
Bánh MBoyTảo 35g (Hộp),Bánh,No Weight,Không có weight/volume trong tên,
Bánh Mandu thịt bằm KK 350g (Gói),Thực phẩm đông lạnh,No Weight,Không có weight/volume trong tên,
Bánh OStar Tảo 55g (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Bánh OStar Tự Nhiên_55g (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Bánh OSxSW2MIXPIZZA 30g (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Bánh Snack V/UA Size (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Bánh Swing Bò 33g (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Bánh Swing Bò 55g (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Bánh TAYOX TrMuối 28g (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Bánh TAYOX Tảo Ngọt 28g (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Bánh TNS_CAYMXC 32g (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Bánh TNS_PM 32 (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Bánh gạo An CốmFest 12P (Gói),,No Weight,Không có weight/volume trong tên,
Bánh gạo An-Ngô 16P (Gói),Bánh,No Weight,Không có weight/volume trong tên,
Bánh gạo sữa vị phô mai 240g (Gói),Bánh,No Weight,Không có weight/volume trong tên,
Bánh quy chấm kem socola tổng hợp nhiều vị (Hộp),Bánh,No Weight,Không có weight/volume trong tên,
Bánh trứng Custas Orion 2P (Hộp),Bánh,No Weight,Không có weight/volume trong tên,
BánhGạo An Ktay Pmai 14P (Gói),Bánh,No Weight,Không có weight/volume trong tên,
BánhGạoAn-Tảo 14P (Gói),Bánh,No Weight,Không có weight/volume trong tên,
BánhGạoAn-TựNhiên 14P (Gói),Bánh,No Weight,Không có weight/volume trong tên,
Bánh OSxSW2MIXPIZZA 50g (Gói),,No Weight,Không có weight/volume trong tên,
Bánh OSxSW2MIXPMCAY 30g (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Bánh OSxSW2MIXPMCAY 50g (Gói),,No Weight,Không có weight/volume trong tên,
Bánh ĂnSáng CEST 8P (Gói),Bánh,No Weight,Không có weight/volume trong tên,
Bánh ĂnSángCEST 5P (Gói),Bánh,No Weight,Không có weight/volume trong tên,
"Bình Xịt Muỗi,Gián Jumbo (Chai)",Chăm sóc sức khỏe,No Weight,Không có weight/volume trong tên,
Bông tai giấy hộp tròn Newborn 200que (Hộp),Chăm sóc cá nhân khác,No Weight,Không có weight/volume trong tên,
Bông tai thân trúc muối biển New life gói 100 (Gói),Chăm sóc cá nhân khác,No Weight,Không có weight/volume trong tên,
Bông tai thân trúc muối biển New life gói 200 (Gói),Chăm sóc cá nhân khác,No Weight,Không có weight/volume trong tên,
Bông tẩy trang EVEDA túi 80 (Gói),Chăm sóc da mặt,No Weight,Không có weight/volume trong tên,
Bông tẩy trang tròn CZ2 (Cái),Chăm sóc da mặt,No Weight,Không có weight/volume trong tên,
Bút chì khúc Comiko CC091 (Chiếc),Văn phòng phẩm,No Weight,Không có weight/volume trong tên,
Bút dạ nước 18 màu (Vỉ),Văn phòng phẩm,No Weight,Không có weight/volume trong tên,
Bút gel EG057-BK màu đen 0.5mm (Chiếc),Văn phòng phẩm,No Weight,Không có weight/volume trong tên,
Băng dính nhỏ (Cuộn),Văn phòng phẩm,No Weight,Không có weight/volume trong tên,
Băng dính trong 3P (Cuộn),Văn phòng phẩm,No Weight,Không có weight/volume trong tên,
Bật lửa 3K (Cái),Văn phòng phẩm,No Weight,Không có weight/volume trong tên,
Bật lửa hoa việt (Chiếc),Dụng cụ phòng ăn và nhà bếp,No Weight,Không có weight/volume trong tên,
Bật lửa khò (Chiếc),Dụng cụ phòng ăn và nhà bếp,No Weight,Không có weight/volume trong tên,
Bật lửa thống nhất (Chiếc),Dụng cụ phòng ăn và nhà bếp,No Weight,Không có weight/volume trong tên,
Bắp nếp non sấy (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
BỘ QUÀ TẾT AN TÀI LỘC 1 6hộp (Hộp),,No Weight,Không có weight/volume trong tên,
BỘ QUÀ TẾT AN TÀI LỘC 3 4hộp (Hộp),Bánh,No Weight,Không có weight/volume trong tên,
Bột chiên gà giòn 100g (Gói),Gia vị,No Weight,Không có weight/volume trong tên,
Bột chiên ngô khoai (Gói),Bột các loại,No Weight,Không có weight/volume trong tên,
Bột giặt Ariel 620g (Gói),Giặt giũ và chăm sóc quần áo,No Weight,Không có weight/volume trong tên,
Bột nghệ (Lọ),Gia vị,No Weight,Không có weight/volume trong tên,
Bột ớt (Lọ),Gia vị,No Weight,Không có weight/volume trong tên,
CDM LUP VN (20X48X11G) (Cái),Bánh,No Weight,Không có weight/volume trong tên,
CDM Milk (12x24x34G) (Cái),Kẹo,No Weight,Không có weight/volume trong tên,
CDM Roast Almond (12x24x32G) (Cái),Kẹo,No Weight,Không có weight/volume trong tên,
COMFORT NX CSCS HNH Thiên Nhiên Diệu Kỳ túi 3.1L (Túi),Giặt giũ và chăm sóc quần áo,No Weight,Không có weight/volume trong tên,
COMFORT NX CSCS HNH Thiên Nhiên Quyến Rũ 3.1L  (Túi),Giặt giũ và chăm sóc quần áo,No Weight,Không có weight/volume trong tên,
COSY NUT CHOCO OAT 135g (Cái),Bánh,No Weight,Không có weight/volume trong tên,
Cafe G7 3 in1 gói 50g (Hộp),Trà,No Weight,Không có weight/volume trong tên,
Cheese Dessert (Hộp(BlueBerry)),Sản phẩm từ sữa khác,No Weight,Không có weight/volume trong tên,
Cherry (Khay),Trái cây,No Weight,Không có weight/volume trong tên,
Cherry Úc (Kg),Trái cây,No Weight,Không có weight/volume trong tên,
Chân giò hầm thuốc bắc (Hộp),Thực phẩm đóng hộp,No Weight,Không có weight/volume trong tên,
Chân gà Cung Đình (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Chân gà Dachi Food vị thường (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Chân gà bigger loại 2 chân (Gói),,No Weight,Không có weight/volume trong tên,
Chân gà đế vương (Cái),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Chân gà ớt rừng (Cái),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Chân gà ủ thượng hạng rút xương (Cái),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Chì màu nhựa 12 màu EC112-12 (Hộp),Văn phòng phẩm,No Weight,Không có weight/volume trong tên,
CleanZ viên giặt xả hộp 16v (Hộp),Vệ sinh nhà cửa,No Weight,Không có weight/volume trong tên,
Combo hộp 4 viên thả bồn cầu CleanZ (Hộp),Vệ sinh nhà cửa,No Weight,Không có weight/volume trong tên,
Cosy Banh Que Choco 117.6g (Cái),Kẹo,No Weight,Không có weight/volume trong tên,
Cosy Bánh Quy Bơ TC Socola 390g (Hộp),Bánh,No Weight,Không có weight/volume trong tên,
Cosy Bánh Quy Bơ TC Vị Bơ Sữa 390g (Hộp),Bánh,No Weight,Không có weight/volume trong tên,
Cung Đình Kool BBQ hương vị sườn nướng kiểu Hàn Quốc 12 thố (Hộp),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
Cung Đình Kool Spaghetti 12 thố (Hộp),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
Cung Đình mì khoai tây hương vị Bò hầm 30 gói (Gói),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
Cung Đình mì khoai tây hương vị Gà hầm 12 thố (Bát),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
Cung Đình mì khoai tây hương vị Lẩu tôm chua cay 24 ly (Ly),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
Cung Đình mì khoai tây hương vị Lẩu tôm chua cay 30 gói (Gói),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
Cung Đình mì khoai tây hương vị Thịt hầm nấm 24 ly (Ly),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
Cung Đình mì khoai tây hương vị Thịt hầm nấm 30 gói (Gói),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
Cung Đình mì khoai tây hương vị sườn heo hầm măng 12 thố (Bát),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
Cung Đình mì khoai tây hương vị sườn heo hầm măng 24 ly (Ly),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
Cung Đình mì khoai tây hương vị sườn heo hầm măng 30 gói (Gói),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
Cung Đình phở bò Hà Nội 30 gói (Gói),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
Cà phê G7 2in Hộp 15 gói (Hộp),Trà,No Weight,Không có weight/volume trong tên,
Cà phê G7 3in1 Hộp 21 gói (Hộp),Trà,No Weight,Không có weight/volume trong tên,
Cà phê Legend Cappuccino Hazelnut - H12st (Hộp),Trà,No Weight,Không có weight/volume trong tên,
"Cá Thiều Que 0,25Kg(Gói)","Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Cơm nắm (Cái),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
Cọ sắt (CÁI),Sửa chữa nhà cửa,No Weight,Không có weight/volume trong tên,
Cốc giấy 6oz (Dây),,No Weight,Không có weight/volume trong tên,
Cốc giấy 7Oz (Dây),,No Weight,Không có weight/volume trong tên,
Cốc giấy trắng (Cái),Dụng cụ phòng ăn và nhà bếp,No Weight,Không có weight/volume trong tên,
Cốc giấy vietcup (TÚI),Dụng cụ phòng ăn và nhà bếp,No Weight,Không có weight/volume trong tên,
DIANA Cool Fresh hàng ngày 20m (Cái),Chăm sóc cơ thể,No Weight,Không có weight/volume trong tên,
DIANA sensi hàng ngày kháng khuẩn 20m (Cái),Chăm sóc cơ thể,No Weight,Không có weight/volume trong tên,
DOVE ST Serum Tái Tạo Độ Ẩm 500g (Chai),Chăm sóc cơ thể,No Weight,Không có weight/volume trong tên,
Dao tem Croma Stabil (Hộp),Chăm sóc cơ thể,No Weight,Không có weight/volume trong tên,
Diana Sensi siêu mỏng cánh 20m (Cái),Chăm sóc cơ thể,No Weight,Không có weight/volume trong tên,
Diana Siêu thấm Siêu mỏng cánh (Gói),Chăm sóc cơ thể,No Weight,Không có weight/volume trong tên,
Diana SuperNight 3 miếng 35cm (Cái),Chăm sóc cơ thể,No Weight,Không có weight/volume trong tên,
Diana sensi Coolfesh siêu mỏng cánh 20m (Cái),Chăm sóc cơ thể,No Weight,Không có weight/volume trong tên,
Diana sensi Coolfresh đêm SMC 4m 29cm (Cái),Chăm sóc cơ thể,No Weight,Không có weight/volume trong tên,
Diana sensi hàng ngày kháng khuẩn 8m (Cái),Chăm sóc cơ thể,No Weight,Không có weight/volume trong tên,
Diana siêu thấm siêu mỏng cánh 20 (Cái),Chăm sóc cơ thể,No Weight,Không có weight/volume trong tên,
Durex - Bao Cao Su Fetherlite 3S (Gói),Chăm sóc sức khỏe,No Weight,Không có weight/volume trong tên,
Durex - Bao Cao Su Pleasuremax 3S (Gói),Chăm sóc sức khỏe,No Weight,Không có weight/volume trong tên,
Durex - Bao Cao Su Sensual Strawberry 3S (Gói),Chăm sóc sức khỏe,No Weight,Không có weight/volume trong tên,
Dâu VIP (Hộp),Trái cây,No Weight,Không có weight/volume trong tên,
Dây dầu xả Dove serum phục hồi hư tổn 17255 (Gói),Chăm sóc tóc và da đầu,No Weight,Không có weight/volume trong tên,
Dầu gạo lứt Coba 1L (Chai),Dầu ăn,No Weight,Không có weight/volume trong tên,
Dầu simply hướng dương 1L (Chai),Dầu ăn,No Weight,Không có weight/volume trong tên,
Dầu ăn cao cấp Meizan Gold 1L (Chai),Dầu ăn,No Weight,Không có weight/volume trong tên,
Dầu ăn thượng hạng Neptune Light 5L (Can),Dầu ăn,No Weight,Không có weight/volume trong tên,
Dầu đậu nành Coba 1L (Chai),Dầu ăn,No Weight,Không có weight/volume trong tên,
Dầu đậu nành Meizan 1L (Chai),Dầu ăn,No Weight,Không có weight/volume trong tên,
Dầu đậu nành Simply 1L (Chai),Dầu ăn,No Weight,Không có weight/volume trong tên,
FANTA CREAM SC SF SAVING PACK 320ml (Cái),Nước ngọt,No Weight,Không có weight/volume trong tên,
FANTA GRAPE SC SF SAVING PACK 320ml (Cái),Nước ngọt,No Weight,Không có weight/volume trong tên,
FUZE TEA LEMONGRASS 1L (Cái),Nước ngọt,No Weight,Không có weight/volume trong tên,
FUZE TEA LEMONGRASS Chanh xả 450ML (Chai),Nước ngọt,No Weight,Không có weight/volume trong tên,
GEORGIA MAX COFFEE CARTON 180ml (Lon),Nước ngọt,No Weight,Không có weight/volume trong tên,
Ghim dập e0010N (Hộp),Văn phòng phẩm,No Weight,Không có weight/volume trong tên,
Gia vị thuốc bắc gà tần (Gói),Gia vị,No Weight,Không có weight/volume trong tên,
Giấy bạc cuộn dài (CUỘN),Sửa chữa nhà cửa,No Weight,Không có weight/volume trong tên,
Giấy phân trang 5 màu W7154 (Tệp),Văn phòng phẩm,No Weight,Không có weight/volume trong tên,
Giấy rút đa năng Hasu gói 1280 tờ (Gói),Chăm sóc cá nhân khác,No Weight,Không có weight/volume trong tên,
Giấy rút đa năng LUMINA 1280 tờ (Gói),Chăm sóc cá nhân khác,No Weight,Không có weight/volume trong tên,
Giấy vệ sinh Hasu 12 cuộn (Dây),Chăm sóc cá nhân khác,No Weight,Không có weight/volume trong tên,
Giấy vệ sinh cuộn công nghiệp 1Kg (Cuộn),"Giấy vệ sinh, khăn giấy",No Weight,Không có weight/volume trong tên,
Gum HD white 15 vỉ (Vỉ),Kẹo,No Weight,Không có weight/volume trong tên,
Gáo đại tay (Cái),Hàng Khuyến Mãi,No Weight,Không có weight/volume trong tên,
Găng cao su cầu vồng mini (ĐÔI),,No Weight,Không có weight/volume trong tên,
Găng cầu vồng dài (ĐÔI),,No Weight,Không có weight/volume trong tên,
Găng cầu vồng trung (ĐÔI),,No Weight,Không có weight/volume trong tên,
HASU NG LOVELY FOR BABAY 2.6L (Can),Vệ sinh nhà cửa,No Weight,Không có weight/volume trong tên,
HASU NLS Lyly 1L (Chai),Vệ sinh nhà cửa,No Weight,Không có weight/volume trong tên,
HASUKOOK dầu đậu nành NK Nga can 5L (Can),Dầu ăn,No Weight,Không có weight/volume trong tên,
HASUKOOK dầu đậu nành NK Nga chai 1L (Chai),Dầu ăn,No Weight,Không có weight/volume trong tên,
HS Nến đôi T01 hoa Thái không lá 2 cốc (Hộp),Văn phòng phẩm,No Weight,Không có weight/volume trong tên,
HS01 – Đại Lộc Khai Niên (Set),Sự kiện,No Weight,Không có weight/volume trong tên,
HS02 – Tân Niên Hồng Phát (Set),Sự kiện,No Weight,Không có weight/volume trong tên,
HS03 - Tấn Tài Tấn Lộc (Set),Sự kiện,No Weight,Không có weight/volume trong tên,
HS04 - Kim Tài Phát Vượng (Set),Sự kiện,No Weight,Không có weight/volume trong tên,
HS07- Mã Đáo Thành Công (Set),Sự kiện,No Weight,Không có weight/volume trong tên,
HS11-HỒNG TỬU KHAI XUÂN (Set),Sự kiện,No Weight,Không có weight/volume trong tên,
HS12-AN KHANG PHÚC KHỞI (Túi),Sự kiện,No Weight,Không có weight/volume trong tên,
HS13-CÁT HỶ VIÊN MÃN (Túi),Sự kiện,No Weight,Không có weight/volume trong tên,
HS14-THANH NHÀN TỰ TẠI (Túi),Sự kiện,No Weight,Không có weight/volume trong tên,
HS15-NGỌT LÀNH SUM VẦY (Set),Sự kiện,No Weight,Không có weight/volume trong tên,
HS16-AN VỊ ĐỦ ĐẦY (Set),Sự kiện,No Weight,Không có weight/volume trong tên,
HS17-TỤ HỶ CÁT TƯỜNG (Set),Sự kiện,No Weight,Không có weight/volume trong tên,
HS18-HỒNG LỘC KHAI XUÂN (Set),Sự kiện,No Weight,Không có weight/volume trong tên,
HS19-HỒNG TỬU KHAI XUÂN(ver2) (Set),Sự kiện,No Weight,Không có weight/volume trong tên,
HS20-NGŨ VỊ SUM VẦY (Set),Sự kiện,No Weight,Không có weight/volume trong tên,
HS21-NGŨ VỊ SUM VẦY(ver2) (Set),Sự kiện,No Weight,Không có weight/volume trong tên,
HS22-NGŨ VỊ TINH HOA (Set),Sự kiện,No Weight,Không có weight/volume trong tên,
HS23-NGŨ VỊ TINH HOA(ver2) (Set),Sự kiện,No Weight,Không có weight/volume trong tên,
HS24-HẢO VỊ AN NHIÊN (Set),Sự kiện,No Weight,Không có weight/volume trong tên,
HS25-TỬU TÂM HỘI VỊ (Set),Sự kiện,No Weight,Không có weight/volume trong tên,
Hasu Giấy ăn rút cao cấp gói 500 tờ (Gói),Chăm sóc cá nhân khác,No Weight,Không có weight/volume trong tên,
Hasucare khăn ướt gói 60 tờ (Gói),Chăm sóc cá nhân khác,No Weight,Không có weight/volume trong tên,
Hành Tây túi lưới (Cái),"Rau, củ",No Weight,Không có weight/volume trong tên,
Hạnh nhân rang bơ thủy tinh bé (Lọ),"Yến mạch, ngũ cốc dinh dưỡng",No Weight,Không có weight/volume trong tên,
Hạt dẻ cười thủy tinh bé (Lọ),"Yến mạch, ngũ cốc dinh dưỡng",No Weight,Không có weight/volume trong tên,
Hạt nêm Knorr từ thịt 1.8 kg (Gói),Gia vị,No Weight,Không có weight/volume trong tên,
Hạt nêm Knorr từ thịt gói 170g (Gói),Gia vị,No Weight,Không có weight/volume trong tên,
Hảo hảo hương vị mì tôm chua cay 75g (Gói),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
Hộp Quà CPIE Tết Ori Đậm (Hộp),Bánh,No Weight,Không có weight/volume trong tên,
Hộp Quà CSTS Tết Ori Cốm (Hộp),Bánh,No Weight,Không có weight/volume trong tên,
Hộp xe hoa nhiều màu (Cái),Đồ chơi,No Weight,Không có weight/volume trong tên,
Hộp xe địa hình 6688 (Cái),Đồ chơi,No Weight,Không có weight/volume trong tên,
Kem CHOCO MALT (Que),Kem,No Weight,Không có weight/volume trong tên,
Kem CHOCO MELT  (Que),Kem,No Weight,Không có weight/volume trong tên,
Kem CHOCOLATE CRISPY (Que),Kem,No Weight,Không có weight/volume trong tên,
Kem CHOCOLATE SUNDAE (Ly),Kem,No Weight,Không có weight/volume trong tên,
Kem CRISPY BALLS (Que),Kem,No Weight,Không có weight/volume trong tên,
Kem FRUTYROLL (Que),Kem,No Weight,Không có weight/volume trong tên,
Kem MIKI - MIKI 35ml (Que),Kem,No Weight,Không có weight/volume trong tên,
Kem MILK CEREAL CRISPY (Cái),Kem,No Weight,Không có weight/volume trong tên,
Kem MILK MELON (Que),Kem,No Weight,Không có weight/volume trong tên,
Kem MOCHI DURIAN (Cái),Kem,No Weight,Không có weight/volume trong tên,
Kem MOCHI MANGO (Cái),Kem,No Weight,Không có weight/volume trong tên,
Kem MOCHI PEACH (Cái),Kem,No Weight,Không có weight/volume trong tên,
Kem MOONG BEAN KACANG IJO (Que),Kem,No Weight,Không có weight/volume trong tên,
Kem SEMANGKA (Que),Kem,No Weight,Không có weight/volume trong tên,
Kem STRAWBERRY (Que),Kem,No Weight,Không có weight/volume trong tên,
Kem STRAWBERRY CRISPY 90ml (Que),Kem,No Weight,Không có weight/volume trong tên,
Kem STRAWBERRY SUNDAE (Ly),Kem,No Weight,Không có weight/volume trong tên,
Kem SWEET CORN (Que),Kem,No Weight,Không có weight/volume trong tên,
Keo 502 (LỌ),Văn phòng phẩm,No Weight,Không có weight/volume trong tên,
Khay bạc (Túi),Sửa chữa nhà cửa,No Weight,Không có weight/volume trong tên,
Khoai Tây 20k (Gói(Khoai Tây Classic)),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Khoai Tây Bi to (Gói),Thực phẩm đông lạnh,No Weight,Không có weight/volume trong tên,
Khoai lang kén (Gói),Thực phẩm đông lạnh,No Weight,Không có weight/volume trong tên,
Khô bò xé sợi fansipan  (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Khăn Giấy Rút Gấu Cao Cấp Hasu 300 Tờ (Gói),Chăm sóc cá nhân khác,No Weight,Không có weight/volume trong tên,
Khăn Tắm 50*100mm (Cái),Đồ dùng phòng tắm,No Weight,Không có weight/volume trong tên,
Khăn giấy rút cao cấp Hoa đào Hasu gói 300 tờ (Gói),Chăm sóc cá nhân khác,No Weight,Không có weight/volume trong tên,
Khăn lau đa năng to sz 35*75mm (Cái),Chăm sóc cá nhân khác,No Weight,Không có weight/volume trong tên,
Khăn mặt 28*46mm (Cái),Đồ dùng phòng tắm,No Weight,Không có weight/volume trong tên,
Khăn đa năng màu bé (CÁI),Chăm sóc cá nhân khác,No Weight,Không có weight/volume trong tên,
Khăn đa năng trắng (Cái),Chăm sóc cá nhân khác,No Weight,Không có weight/volume trong tên,
Khăn ướt Niva 100 tờ (Cái),"Giấy vệ sinh, khăn giấy",No Weight,Không có weight/volume trong tên,
Khẩu trang 5D (Gói),,No Weight,Không có weight/volume trong tên,
Khẩu trang 6A (Gói),,No Weight,Không có weight/volume trong tên,
Khẩu trang niva trẻ em hộp (Hộp),Chăm sóc cá nhân khác,No Weight,Không có weight/volume trong tên,
Kun Hương Cam 85ml (Chai),Sữa nước các loại,No Weight,Không có weight/volume trong tên,
Kéo văn phòng E6009 180mm (Chiếc),Văn phòng phẩm,No Weight,Không có weight/volume trong tên,
KẸO DẺO KING CHUN 25g (Gói),Kẹo,No Weight,Không có weight/volume trong tên,
KẸO DỒI NĐP TRÒN 220g (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
KẸO HỌNG QUẤT MẬT ONG 84g (Gói),Kẹo,No Weight,Không có weight/volume trong tên,
KẸO LẠC 10 THANH TO 220g (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Kẹo ALP Hương dâu kem  (Thỏi),Kẹo,No Weight,Không có weight/volume trong tên,
Kẹo ALP Hương sữa caramen  (Thỏi),Kẹo,No Weight,Không có weight/volume trong tên,
Kẹo Golia Active plus (Thỏi),Kẹo,No Weight,Không có weight/volume trong tên,
Kẹo dẻo Boom DÂY Dâu 25g (Gói),Kẹo,No Weight,Không có weight/volume trong tên,
Kẹo dẻo Boom DÂY Nho 25g (Gói),Kẹo,No Weight,Không có weight/volume trong tên,
Kẹo dẻo Boom DÂY Đào 25g (Gói),Kẹo,No Weight,Không có weight/volume trong tên,
Kẹo dẻo BoomChanhDây 24g (Gói),Kẹo,No Weight,Không có weight/volume trong tên,
Kẹo mè xửng túi Kim Thành (Gói),Kẹo,No Weight,Không có weight/volume trong tên,
Kẹo mút CC ChấmMút Dâu (Gói),Kẹo,No Weight,Không có weight/volume trong tên,
Kẹo mềm sugus trái cây ly 48 thanh (Thanh),Kẹo,No Weight,Không có weight/volume trong tên,
Kẹo ngậm DM peppermint tuýp 35 viên (Lọ),Kẹo,No Weight,Không có weight/volume trong tên,
Kẹo nhai MT Bạc hà 16thỏi (Thỏi),Kẹo,No Weight,Không có weight/volume trong tên,
Kẹo sing-gum CAME hũ 100 viên (Lọ),Kẹo,No Weight,Không có weight/volume trong tên,
Kẹo sing-gum CAME hũ 40 viên (Lọ),Kẹo,No Weight,Không có weight/volume trong tên,
Kẹo sing-gum CAME ly  (Cái),Kẹo,No Weight,Không có weight/volume trong tên,
Kẹo sing-gum DMPP hũ 40 viên (Lọ),Kẹo,No Weight,Không có weight/volume trong tên,
KẹodẻoBoomDây XoàiỚt 23.5g (Gói),Kẹo,No Weight,Không có weight/volume trong tên,
LACTACYD DDVSPN ODOR FRESH 150ML (Cái),,No Weight,Không có weight/volume trong tên,
LC- Mực vòng chiên giòn 300G (Gói),Thực phẩm đông lạnh,No Weight,Không có weight/volume trong tên,
