Tên sản phẩm,Ngành hàng,Loại edge case,Mô tả,
SSK SUNSILK Dầu Gội Mềm Mượt Diệu Kỳ Vàng 6g (Gói),Chăm sóc tóc và da đầu,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
SSK SUNSILK Dầu Gội Ngăn Gãy Rụng Tóc Xanh 380ml (Chai),Chăm sóc tóc và da đầu,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
SSK SUNSILK Dầu Xả Mềm Mượt Diệu Kỳ Vàng 6g (Gói),Chăm sóc tóc và da đầu,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
SSK SUNSILK Dầu Xả Óng Mượt Rạng Ngời Đen 6g (Gói),Chăm sóc tóc và da đầu,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
KĐR P/S Trà Xanh 180g (Cái),Chăm sóc răng miệng,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
P/S KĐR Thảo Dược 150g (Tuýp),Chăm sóc răng miệng,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
PS KĐR bảo vệ 123 180g (Tuýp),Chăm sóc răng miệng,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
CLOSEUP KĐR Bạc Hà Thơm Mát 180g (Tuýp),Chăm sóc răng miệng,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
CLOSEUP Bàn Chải Đánh Răng Precision Clean (Cái),Chăm sóc răng miệng,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
P/S BCĐR Lông Tơ Mềm Mại (Cái),Chăm sóc răng miệng,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
P/S BCĐR Trẻ Em Superkid (Cái),Chăm sóc răng miệng,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
P/S Bàn Chải Đánh Răng Muối Tre (Cái),Chăm sóc răng miệng,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
KNORR Nước mắm ngon tròn vị 750ml + dầu ăn 400ml(Bộ),"Nước chấm, mắm",Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
KNORR tương ớt cay đậm 220g (Cái),Gia vị,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
Marika Bánh Marika Bơ tươi 48P (Cái),Bánh,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
BOOM Kẹo Boom Me Lak 25g (Cái),Kẹo,Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
OST BánhOStar PMaiTrMuối 30g (Cái),"Snack, đồ ăn vặt",Item Code Prefix,Mã hàng 3-4 số ở đầu tên,
Ajinomoto 454g (Gói),Gia vị,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Bia Heineken 330ml (Lon),Bia,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Bánh mì Staff sandwich 275g (Gói),Bánh,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Bánh mỳ chà bông Staff 60g (Gói),Bánh,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Bánh que Toppo nhân SCL 40g (Hộp),Bánh,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Bột pho mai Yary 150g (Lọ),Gia vị,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
CLOSEUP KĐR Trắng Răng Muối Biển 180g(Hộp),Chăm sóc răng miệng,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
COCA - COLA giảm đường bình 1.5l (Chai),Nước ngọt,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Clear Men DG mát lạnh bạc hà 900g (Chai),Chăm sóc tóc và da đầu,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
DOVE dầu gội dưỡng tóc bồng bềnh 640g (Chai),Chăm sóc cá nhân khác,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Dove DX Phục hồi tóc hư tổn tuýp 170g (Tuýp),Chăm sóc tóc và da đầu,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Dầu hào Cholimex 820g (Chai),Gia vị,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Dầu hào Maggi 350g (Chai),Gia vị,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
HASU NLS HASU lyly 3.6kg (Can),Vệ sinh nhà cửa,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
HASU Nước lau kính 650ml (Chai),Vệ sinh nhà cửa,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
