original_name,clean_name,weight,unit,packaging_type
SSK SUNSILK Dầu Xả Óng Mượt Rạng Ngời Đen 6g (Gói),SSK SUNSILK Dầu Xả Óng Mượt Rạng Ngời Đen,6.0,g,Gói
KĐR P/S Trà Xanh 180g (Cái),KĐR P/S Trà Xanh,180.0,g,Cái
P/S KĐR Thảo Dược 150g (Tuýp),P/S KĐR Thảo Dược,150.0,g,Tuýp
PS KĐR bảo vệ 123 180g (Tuýp),PS KĐR bảo vệ 123,180.0,g,Tuýp
CLOSEUP KĐR Bạc Hà Thơm Mát 180g (Tuýp),CLOSEUP KĐR Bạc Hà Thơm Mát,180.0,g,Tuýp
CLOSEUP Bàn Chải Đánh Răng Precision Clean (Cái),CLOSEUP Bàn Chải Đánh Răng Precision Clean,,,Cái
P/S BCĐR Lông Tơ Mềm Mại (Cái),P/S BCĐR Lông Tơ Mềm Mại,,,Cái
P/S BCĐR Trẻ Em Superkid (Cái),P/S BCĐR Trẻ Em Superkid,,,Cái
P/S Bàn Chải Đánh Răng Muối Tre (Cái),P/S Bàn Chải Đánh Răng Muối Tre,,,Cái
KNORR Nước mắm ngon tròn vị 750ml + dầu ăn 400ml(Bộ),KNORR Nước mắm ngon tròn vị + dầu ăn 400ml,750.0,ml,Bộ
KNORR tương ớt cay đậm 220g (Cái),KNORR tương ớt cay đậm,220.0,g,Cái
Marika Bánh Marika Bơ tươi 48P (Cái),Marika Bánh Marika Bơ tươi 48P,,,Cái
BOOM Kẹo Boom Me Lak 25g (Cái),BOOM Kẹo Boom Me Lak,25.0,g,Cái
OST BánhOStar PMaiTrMuối 30g (Cái),OST BánhOStar PMaiTrMuối,30.0,g,Cái
Ajinomoto 454g (Gói),Ajinomoto,454.0,g,Gói
Bia Heineken 330ml (Lon),Bia Heineken,330.0,ml,Lon
Bánh mì Staff sandwich 275g (Gói),Bánh mì Staff sandwich,275.0,g,Gói
Bánh mỳ chà bông Staff 60g (Gói),Bánh mỳ chà bông Staff,60.0,g,Gói
Bánh que Toppo nhân SCL 40g (Hộp),Bánh que Toppo nhân SCL,40.0,g,Hộp
Bột pho mai Yary 150g (Lọ),Bột pho mai Yary,150.0,g,Lọ
CLOSEUP KĐR Trắng Răng Muối Biển 180g(Hộp),CLOSEUP KĐR Trắng Răng Muối Biển,180.0,g,Hộp
COCA - COLA giảm đường bình 1.5l (Chai),COCA - COLA giảm đường bình,1.5,l,Chai
Clear Men DG mát lạnh bạc hà 900g (Chai),Clear Men DG mát lạnh bạc hà,900.0,g,Chai
DOVE dầu gội dưỡng tóc bồng bềnh 640g (Chai),DOVE dầu gội dưỡng tóc bồng bềnh,640.0,g,Chai
Dove DX Phục hồi tóc hư tổn tuýp 170g (Tuýp),Dove DX Phục hồi tóc hư tổn tuýp,170.0,g,Tuýp
Dầu hào Cholimex 820g (Chai),Dầu hào Cholimex,820.0,g,Chai
Dầu hào Maggi 350g (Chai),Dầu hào Maggi,350.0,g,Chai
HASU NLS HASU lyly 3.6kg (Can),HASU NLS HASU lyly,3.6,kg,Can
HASU Nước lau kính 650ml (Chai),HASU Nước lau kính,650.0,ml,Chai
HAZELINE Sữa Tắm Fragrance HươngSữaGạo HoaBưởi 800g (Cái),HAZELINE Sữa Tắm Fragrance HươngSữaGạo HoaBưởi,800.0,g,Cái
HS tẩy canxi Hasu 500ml (Chai),HS tẩy canxi Hasu,500.0,ml,Chai
Hasu Giấy ăn 1000g (Gói),Hasu Giấy ăn,1000.0,g,Gói
Hazeline gel rửa mặt tràm trà rau má 50g (Tuýp),Hazeline gel rửa mặt tràm trà rau má,50.0,g,Tuýp
Knorr gia vị hoàn chỉnh cá kho riềng 28g (Cái),Knorr gia vị hoàn chỉnh cá kho riềng,28.0,g,Cái
Kẹo Esprezzo Vanilla Coffee 150g (Gói),Kẹo Esprezzo Vanilla Coffee,150.0,g,Gói
Kẹo dẻo Haribo Goldbears 80g (Gói),Kẹo dẻo Haribo Goldbears,80.0,g,Gói
Kẹo dẻo Haribo Starmix 80g (Gói),Kẹo dẻo Haribo Starmix,80.0,g,Gói
Kẹo dẻo Haribo Worms 100g (Cái),Kẹo dẻo Haribo Worms,100.0,g,Cái
Kẹo gum lotte Fusen no mi hương cam 14g (Hộp),Kẹo gum lotte Fusen no mi hương cam,14.0,g,Hộp
Lá Kim cuốn cơm O\'Food 10g (Gói),Lá Kim cuốn cơm O\'Food,10.0,g,Gói
Muối chấm hảo hảo tôm chua cay 120g (Lọ),Muối chấm hảo hảo tôm chua cay,120.0,g,Lọ
Mì hảo hảo handy tôm chua cay 67g (Cốc),Mì hảo hảo handy tôm chua cay,67.0,g,Cốc
Mật ong nghệ phấn hoa 280g (Lọ),Mật ong nghệ phấn hoa,280.0,g,Lọ
Mật ong sữa chúa Hoa Bốn Mùa 230ml (Lọ),Mật ong sữa chúa Hoa Bốn Mùa,230.0,ml,Lọ
NG ZESTY clean hương oải hương túi 3.6kg (Túi),NG ZESTY clean hương oải hương túi,3.6,kg,Túi
Nui cao cấp Meizan 200g (Túi),Nui cao cấp Meizan,200.0,g,Túi
Nước 7 up Rivive 500ml (Chai),Nước 7 up Rivive,500.0,ml,Chai
Nước Tẩy Trắng Quần Áo Javel Sutiki 500ml (Cái),Nước Tẩy Trắng Quần Áo Javel Sutiki,500.0,ml,Cái
Nước chấm 3 miền cá cơm 800ml (Cái),Nước chấm 3 miền cá cơm,800.0,ml,Cái
Nước dừa cốt tắc VNM 330ml (Hộp),Nước dừa cốt tắc VNM,330.0,ml,Hộp
Nước gạo buổi sáng Morning Rice 500ml (Chai),Nước gạo buổi sáng Morning Rice,500.0,ml,Chai
Nước hồng trà C2 vị đào chai 455ml (Chai),Nước hồng trà C2 vị đào chai,455.0,ml,Chai
Nước khoáng Faith chanh muối có ga 355ml (Chai),Nước khoáng Faith chanh muối có ga,355.0,ml,Chai
Nước lau sàn Sutiki hương thanh trúc chiết xuất bươi tươi 3.6kg (Cái),Nước lau sàn Sutiki hương thanh trúc chiết xuất bươi tươi,3.6,kg,Cái
Nước mắm nam ngư nhãn vàng 650ml (Chai),Nước mắm nam ngư nhãn vàng,650.0,ml,Chai
Nước trà xanh C2 chanh tuyết Bạc Hà 455ml (Chai),Nước trà xanh C2 chanh tuyết Bạc Hà,455.0,ml,Chai
Nước trà xanh C2 hương chanh 355ml (Chai),Nước trà xanh C2 hương chanh,355.0,ml,Chai
Nước trà xanh C2 hương chanh 455ml (Chai),Nước trà xanh C2 hương chanh,455.0,ml,Chai
Nước trà xanh C2 hương táo 355ml (Chai),Nước trà xanh C2 hương táo,355.0,ml,Chai
Nước tương Chinsu nấm Shiitake MB 330ml (Chai),Nước tương Chinsu nấm Shiitake MB,330.0,ml,Chai
Nước tương Maggi đậm đặc 300ml (Chai),Nước tương Maggi đậm đặc,300.0,ml,Chai
OMO BG Đỏ 1.15kg (Cái),OMO BG Đỏ,1.15,kg,Cái
OMO NG Cho Quần Áo Bé Yêu 3.6kg (Túi),OMO NG Cho Quần Áo Bé Yêu,3.6,kg,Túi
OMO NG Cửa Trên sạch sâu vượt trội 3.1kg (Cái),OMO NG Cửa Trên sạch sâu vượt trội,3.1,kg,Cái
Omo BG đỏ hương thơm mát giặt tay 5.3kg (Gói),Omo BG đỏ hương thơm mát giặt tay,5.3,kg,Gói
Omo NG giữ màu cửa trên túi 3.6kg (Túi),Omo NG giữ màu cửa trên túi,3.6,kg,Túi
Omo NG matic cửa trên sạch thơm vượt trội túi 3.7kg (Cái),Omo NG matic cửa trên sạch thơm vượt trội túi,3.7,kg,Cái
P/S KĐR Baking Soda & Hương Thảo 180g (Tuýp),P/S KĐR Baking Soda & Hương Thảo,180.0,g,Tuýp
P/S KĐR Bé Ngoan Hương Dâu 35g (Cái),P/S KĐR Bé Ngoan Hương Dâu,35.0,g,Cái
P/S KĐR Ngừa Sâu Răng Vượt Trội 100g (Tuýp),P/S KĐR Ngừa Sâu Răng Vượt Trội,100.0,g,Tuýp
P/S KĐR Ngừa Sâu Răng Vượt Trội 180g (Ống),P/S KĐR Ngừa Sâu Răng Vượt Trội,180.0,g,Ống
Phở Vifon thịt bò 120g (Tô),Phở Vifon thịt bò,120.0,g,Tô
Rong biển giòn trộn hải sản O\'Food 40g (Gói),Rong biển giòn trộn hải sản O\'Food,40.0,g,Gói
"Rong biển giòn trộn óc chó, hạnh nhân O\'Food 40g (Gói)","Rong biển giòn trộn óc chó, hạnh nhân O\'Food",40.0,g,Gói
SUNLIGHT NRC Chanh túi 1.4kg (Cái),SUNLIGHT NRC Chanh túi,1.4,kg,Cái
SUNLIGHT NRC Thiên Nhiên Lô Hội 750g (Chai),SUNLIGHT NRC Thiên Nhiên Lô Hội,750.0,g,Chai
SUNLIGHT NRC Thiên Nhiên lô hội túi 3.3kg (Túi),SUNLIGHT NRC Thiên Nhiên lô hội túi,3.3,kg,Túi
SUNLIGHT NRC Thiên nhiên Gừng chai 750g (Chai),SUNLIGHT NRC Thiên nhiên Gừng chai,750.0,g,Chai
SUNLIGHT Nước Lau Kính Siêu Nhanh 520ml (Chai),SUNLIGHT Nước Lau Kính Siêu Nhanh,520.0,ml,Chai
SUTIKI NLS hương thanh trúc chiết xuất bưởi tươi 950g (Chai),SUTIKI NLS hương thanh trúc chiết xuất bưởi tươi,950.0,g,Chai
SUTIKI Nước tẩy bồn cầu và nhà tắm XANH chai 750ml (Chai),SUTIKI Nước tẩy bồn cầu và nhà tắm XANH chai,750.0,ml,Chai
Sunlight NRC chanh 750g (Chai),Sunlight NRC chanh,750.0,g,Chai
Sunsilk DG ngăn rụng tóc vương vấn NH 650g (Chai),Sunsilk DG ngăn rụng tóc vương vấn NH,650.0,g,Chai
Sunsilk DG vàng mềm mượt diệu kỳ 320g (Cái),Sunsilk DG vàng mềm mượt diệu kỳ,320.0,g,Cái
Sunsilk DG đen óng mượt rạng ngời 320g (Cái),Sunsilk DG đen óng mượt rạng ngời,320.0,g,Cái
Sunsilk DX mềm mượt diệu kỳ 640g (Chai),Sunsilk DX mềm mượt diệu kỳ,640.0,g,Chai
"Sunsilk DX ngăn rụng tóc, vương vấn NH 320g (Tuýp)","Sunsilk DX ngăn rụng tóc, vương vấn NH",320.0,g,Tuýp
Sunsilk DX đen óng mượt rạng ngời 320g (Chai),Sunsilk DX đen óng mượt rạng ngời,320.0,g,Chai
Sutiki Nước tẩy bồn cầu và nhà tắm đen chai 750ml (Chai),Sutiki Nước tẩy bồn cầu và nhà tắm đen chai,750.0,ml,Chai
Sữa bịch vinamilk ca cao 220ml (Bịch),Sữa bịch vinamilk ca cao,220.0,ml,Bịch
Sữa dinh dưỡng không đường VNM túi 220ml (Túi),Sữa dinh dưỡng không đường VNM túi,220.0,ml,Túi
Sữa Ông Thọ trắng380g (Hộp),Sữa Ông Thọ trắng,380.0,g,Hộp
Sữa đậu nành Fami Go vị đậu đỏ nếp cẩm 200ml (Hộp),Sữa đậu nành Fami Go vị đậu đỏ nếp cẩm,200.0,ml,Hộp
Thiên Hùng yến sào đường phèn lọ 70ml (Hũ),Thiên Hùng yến sào đường phèn lọ,70.0,ml,Hũ
Thạch rau câu Kimiko túi 450g (Túi),Thạch rau câu Kimiko túi,450.0,g,Túi
Thạch rau câu bổ sung Canxi Long Hải 500g (Gói),Thạch rau câu bổ sung Canxi Long Hải,500.0,g,Gói
Trà Cozy tắc mật ong 455ml (Chai),Trà Cozy tắc mật ong,455.0,ml,Chai
Trà Cozy vải 455ml (Chai),Trà Cozy vải,455.0,ml,Chai
Trà Cozy ổi hồng 455ml (Chai),Trà Cozy ổi hồng,455.0,ml,Chai
Trà sữa Kirin Latte hương dâu 440ml (Chai),Trà sữa Kirin Latte hương dâu,440.0,ml,Chai
Trà sữa Kirin Latte hương đào 440ml (Chai),Trà sữa Kirin Latte hương đào,440.0,ml,Chai
Trà đào sả COZY 455ml (Chai),Trà đào sả COZY,455.0,ml,Chai
Tẩy WC okay (hồng) 960ml (Chai),Tẩy WC okay (hồng),960.0,ml,Chai
VIM trắng sáng Lavender và than hoạt tính 870ml (Chai),VIM trắng sáng Lavender và than hoạt tính,870.0,ml,Chai
Xả vải khô Zesty hồng chai 100ml (Chai),Xả vải khô Zesty hồng chai,100.0,ml,Chai
MILO Uong Lien 12 MOI KM 110ml (Hộp),MILO Uong Lien 12 MOI KM,110.0,ml,Hộp
NESCAFE 3in1 Rang Dam Hop 24 16g (Hộp),NESCAFE 3in1 Rang Dam Hop 24,16.0,g,Hộp
NESCAFE CAFE VIET HOP 24 16g  (Hộp),NESCAFE CAFE VIET HOP 24,16.0,g,Hộp
Sua Lua Mach NESTLE MILO  Moi 110ml (Hộp),Sua Lua Mach NESTLE MILO Moi,110.0,ml,Hộp
Sua Lua Mach NESTLE MILO  180ml Moi 180ml (Hộp),Sua Lua Mach NESTLE MILO Moi 180ml,180.0,ml,Hộp
TPBS Sua Lua Mach Nestle MILO A2 110ml (Hộp),TPBS Sua Lua Mach Nestle MILO A2,110.0,ml,Hộp
Comfort NX HNH thiên nhiên quyến rũ 20ml (Gói),Comfort NX HNH thiên nhiên quyến rũ,20.0,ml,Gói
